                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94223,                 3.0936,                 1.0915,                0.41044,                0.74333,                0.61332,                0.49035,                0.66888,                 1.9815,                0.88666,              0.0004072,              0.0004072,              0.0004072
                      2,                0.90216,                 1.7874,                 1.0568,                0.65067,                0.77695,                0.76364,                 0.5857,                0.68874,                 1.8414,                0.96499,             0.00078308,             0.00078308,             0.00078308
                      3,                0.87472,                  1.575,                 1.0225,                  0.455,                0.72862,                0.59726,                0.48568,                0.79953,                 1.5947,                 1.0749,              0.0011177,              0.0011177,              0.0011177
                      4,                0.90978,                 1.3982,                 1.0828,                0.57924,                0.72896,                 0.8095,                0.66354,                0.72249,                 1.4972,                0.97291,              0.0010644,              0.0010644,              0.0010644
                      5,                0.87268,                 1.1259,                 1.0298,                0.84159,                0.81437,                0.91145,                 0.7673,                0.63578,                  1.381,                0.96578,              0.0010025,              0.0010025,              0.0010025
                      6,                0.83666,                 1.0136,                 1.0394,                0.94408,                0.90694,                0.97054,                0.81625,                 0.7165,                0.80778,                 1.0088,             0.00094062,             0.00094062,             0.00094062
                      7,                0.80397,                0.95363,                 1.0417,                0.88351,                0.97149,                0.94506,                0.77275,                0.71309,                0.71508,                0.99398,             0.00087875,             0.00087875,             0.00087875
                      8,                0.76873,                0.87728,                 1.0028,                0.95953,                 0.9826,                0.99199,                0.86608,                0.59593,                0.55859,                0.93516,             0.00081688,             0.00081688,             0.00081688
                      9,                0.80338,                0.85935,                 1.0276,                0.97376,                0.99236,                 0.9944,                0.85067,                0.58784,                0.54703,                0.92937,               0.000755,               0.000755,               0.000755
                     10,                0.73889,                0.83698,                0.99073,                0.96151,                0.98586,                0.99266,                0.88602,                0.55872,                0.55704,                 0.9123,             0.00069313,             0.00069313,             0.00069313
                     11,                 0.5982,                0.66421,                0.91484,                0.98038,                0.94953,                0.98354,                0.87374,                 0.5174,                0.53249,                0.88682,             0.00063125,             0.00063125,             0.00063125
                     12,                0.57375,                0.59038,                0.90701,                0.96967,                0.98582,                0.98903,                0.88198,                0.52594,                0.44523,                0.89137,             0.00056938,             0.00056938,             0.00056938
                     13,                0.53981,                0.55133,                0.88636,                0.96224,                0.97844,                0.98915,                0.87622,                0.52097,                0.50942,                0.89283,              0.0005075,              0.0005075,              0.0005075
                     14,                0.51502,                0.59134,                0.86962,                0.98006,                0.99047,                0.99402,                0.89516,                0.50355,                0.42262,                0.86986,             0.00044563,             0.00044563,             0.00044563
                     15,                0.49417,                0.48179,                0.87276,                 0.9944,                0.99319,                  0.995,                0.89499,                0.50924,                0.39226,                0.86922,             0.00038375,             0.00038375,             0.00038375
                     16,                0.48786,                0.44616,                0.86999,                0.98322,                 0.9911,                  0.995,                0.90235,                0.48014,                0.39283,                0.85899,             0.00032188,             0.00032188,             0.00032188
                     17,                0.46609,                0.39245,                0.84955,                0.97507,                0.98848,                0.99457,                0.91927,                0.42535,                0.35842,                0.83974,                0.00026,                0.00026,                0.00026
                     18,                0.43939,                0.38982,                0.84114,                0.97858,                0.98026,                0.99402,                0.91946,                0.43865,                0.35634,                0.83724,             0.00019813,             0.00019813,             0.00019813
                     19,                0.41395,                0.36548,                0.82981,                 0.9896,                0.98272,                  0.995,                0.93767,                0.39698,                0.33339,                   0.83,             0.00013625,             0.00013625,             0.00013625
                     20,                0.39994,                 0.3595,                0.82783,                0.99458,                0.98197,                  0.995,                0.94795,                0.36937,                0.31097,                0.82322,             7.4375e-05,             7.4375e-05,             7.4375e-05
